Brand,Material,Size,Compartments,Laptop Compartment,Waterproof,Style,Color,Weight Capacity (kg),Price
Adidas,Leather,Medium,3,No,No,Backpack,Green,11.23502576,82.79698033
Adidas,Leather,Medium,2,No,Yes,Messenger,Black,20.92282662,118.7868047
Adidas,Canvas,Small,4,Yes,No,Tote,Green,17.54719456,28.47323078
Adidas,Polyester,Large,4,Yes,No,Messenger,Gray,24.17905898,57.75600601
Adidas,Polyester,Large,4,Yes,No,Backpack,Blue,10.83786847,56.53827951
Adidas,Polyester,Small,3,Yes,No,Messenger,Green,8.545619437,23.10939386
Adidas,Polyester,Large,6,Yes,No,Tote,Green,12.06265445,133.1594168
Adidas,Canvas,Small,10,Yes,No,Messenger,Black,23.22025289,37.57339611
Adidas,Canvas,Small,10,No,Yes,Messenger,Gray,22.03148514,54.66423609
Adidas,Leather,Medium,1,Yes,No,Backpack,Gray,17.31404023,66.177522
Adidas,Nylon,Medium,9,No,No,Tote,Gray,9.757009944,47.9778039
Adidas,Leather,Medium,4,No,Yes,Backpack,Red,17.97767247,73.99826213
Adidas,Canvas,Small,1,No,Yes,Backpack,Black,8.708587959,46.98670065
Adidas,Nylon,Large,3,No,Yes,Backpack,Pink,6.188268193,52.76690431
Adidas,Canvas,Medium,2,No,Yes,Backpack,Green,14.9740285,65.84051181
Adidas,Leather,Large,8,Yes,No,Messenger,Pink,17.04408256,131.8665916
Adidas,Canvas,Medium,3,No,No,Backpack,Pink,27.5614877,143.8434339
Adidas,Leather,Large,2,No,No,Tote,Pink,7.66980244,145.7227067
Adidas,Leather,Large,9,Yes,No,Backpack,Red,25.2078284,90.09168807
Adidas,Nylon,Small,5,Yes,Yes,Backpack,Black,17.19326299,150
Adidas,Leather,Small,5,Yes,No,Tote,Pink,13.0204108,136.9696291
Adidas,Nylon,Small,7,No,No,Tote,Green,9.150697568,56.08803699
Adidas,Nylon,Large,5,Yes,No,Messenger,Red,5,119.8733935
Adidas,Nylon,Small,3,Yes,No,Messenger,Red,9.157654207,76.98093072
Adidas,Polyester,Small,7,No,Yes,Messenger,Blue,18.91360336,80.10849245
Adidas,Leather,Medium,8,No,No,Tote,Pink,23.97219794,33.52224252
Adidas,Nylon,Small,3,Yes,No,Backpack,Pink,6.666542062,64.648277
Adidas,Nylon,Small,8,Yes,No,Backpack,Gray,5,34.87083271
Adidas,Nylon,Large,9,Yes,Yes,Backpack,Green,25.33126136,86.41742739
Adidas,Leather,Large,10,No,Yes,Backpack,Pink,5,33.14091458
Adidas,Polyester,Large,6,Yes,No,Backpack,Blue,11.32131118,44.33555122
Adidas,Canvas,Large,1,Yes,No,Backpack,Black,17.64262237,49.42768429
Adidas,Nylon,Medium,1,Yes,Yes,Messenger,Black,27.11611993,107.3941592
Adidas,Leather,Medium,1,No,Yes,Tote,Pink,12.07482334,21.87428857
Adidas,Polyester,Large,2,Yes,No,Messenger,Blue,28.85366463,61.25803341
Adidas,Leather,Medium,9,Yes,No,Messenger,Pink,18.61642879,85.24628811
Adidas,Canvas,Large,3,Yes,No,Backpack,Pink,19.35802702,71.43948974
Adidas,Leather,Large,5,Yes,Yes,Backpack,Blue,20.99935583,34.59017417
Adidas,Leather,Small,4,No,No,Messenger,Blue,17.9480337,87.58273895
Adidas,Leather,Large,2,Yes,Yes,Backpack,Green,27.08052452,140.5753037
